alerts,week,cumulative_emissions,target_emissions,percent_to_target
16024,1,0.4439896664,23.5,2
60074,2,2.142690446,23.5,9
12835,3,2.491394319,23.5,11
97720,4,5.347695102,23.5,23
15224,5,5.776279663,23.5,25
310,6,5.783979542,23.5,25
3164,7,5.868773556,23.5,25
4723,8,6.007384779,23.5,26
9234,9,6.280525654,23.5,27
3109,10,6.35616281,23.5,27
14831,11,6.782557498,23.5,29
17276,12,7.250958615,23.5,31
,13,,23.5,
,14,,23.5,
,15,,23.5,
,16,,23.5,
,17,,23.5,
,18,,23.5,
,19,,23.5,
,20,,23.5,
,21,,23.5,
,22,,23.5,
,23,,23.5,
,24,,23.5,
,25,,23.5,
,26,,23.5,
,27,,23.5,
,28,,23.5,
,29,,23.5,
,30,,23.5,
,31,,23.5,
,32,,23.5,
,33,,23.5,
,34,,23.5,
,35,,23.5,
,36,,23.5,
,37,,23.5,
,38,,23.5,
,39,,23.5,
,40,,23.5,
,41,,23.5,
,42,,23.5,
,43,,23.5,
,44,,23.5,
,45,,23.5,
,46,,23.5,
,47,,23.5,
,48,,23.5,
,49,,23.5,
,50,,23.5,
,51,,23.5,
,52,,23.5,