week,alerts,above_ground_carbon_loss,cumulative_emissions,2001_2013_average,2020_target,percent_to_emissions_target,area,cumulative_deforestation,2001_2013_average_deforestation,2020_target_deforestation,percent_to_deforestation_target
1,14281,0.5552130665,0.5552130665,46.92503745,23.46251872,2.366383052,1073.229234,1073.229234,135053.3513,67526.67565,1.589341137
2,27308,1.178875925,1.734088992,46.92503745,23.46251872,7.390890177,2078.411865,3151.6411,135053.3513,67526.67565,4.667253451
3,7124,0.2870890307,2.021178022,46.92503745,23.46251872,8.614497216,544.5447002,3696.1858,135053.3513,67526.67565,5.473667649
4,27546,1.190921185,3.212099207,46.92503745,23.46251872,13.69034265,2096.601128,5792.786928,135053.3513,67526.67565,8.578516374
5,1454,6.05E-02,3.272648174,46.92503745,23.46251872,13.94840943,111.1690105,5903.955938,135053.3513,67526.67565,8.743146144
6,122,4.50E-03,3.277150625,46.92503745,23.46251872,13.9675994,9.353606659,5913.309545,135053.3513,67526.67565,8.756997865
7,1852,7.53E-02,3.352449228,46.92503745,23.46251872,14.28853086,139.6072682,6052.916813,135053.3513,67526.67565,8.963741743
8,1248,0.0532759061,3.405725134,46.92503745,23.46251872,14.51559901,95.38420601,6148.301019,135053.3513,67526.67565,9.104995855
9,905,3.60E-02,3.441702836,46.92503745,23.46251872,14.66894018,68.72827579,6217.029295,135053.3513,67526.67565,9.2067753
10,1010,3.66E-02,3.478330915,46.92503745,23.46251872,14.82505334,76.73254002,6293.761835,135053.3513,67526.67565,9.32040823
11,2920,0.1208200461,3.599150961,46.92503745,23.46251872,15.34000251,222.4208867,6516.182721,135053.3513,67526.67565,9.649790485
12,8533,0.3455576385,3.9447086,46.92503745,23.46251872,16.8128096,640.3553504,7156.538072,135053.3513,67526.67565,10.59809031
13,885,3.20E-02,3.976727183,46.92503745,23.46251872,16.94927655,67.02485966,7223.562932,135053.3513,67526.67565,10.69734718
14,2317,0.1025870194,4.079314203,46.92503745,23.46251872,17.38651443,173.9718099,7397.534741,135053.3513,67526.67565,10.95498138
15,1324,0.0484497694,4.127763972,46.92503745,23.46251872,17.59301301,100.7150103,7498.249752,135053.3513,67526.67565,11.10412986
16,5382,0.2282962301,4.356060202,46.92503745,23.46251872,18.56603826,408.6790288,7906.928781,135053.3513,67526.67565,11.70934109
17,2454,0.1026385093,4.458698711,46.92503745,23.46251872,19.00349559,187.2232282,8094.152009,135053.3513,67526.67565,11.98659927
18,347,1.52E-02,4.473927128,46.92503745,23.46251872,19.06840089,26.06137041,8120.213379,135053.3513,67526.67565,12.02519345
19,,,,46.92503745,23.46251872,0,,,135053.3513,67526.67565,
20,,,,46.92503745,23.46251872,,,,135053.3513,67526.67565,
21,,,,46.92503745,23.46251872,,,,135053.3513,67526.67565,
22,,,,46.92503745,23.46251872,,,,135053.3513,67526.67565,
23,,,,46.92503745,23.46251872,,,,135053.3513,67526.67565,
24,,,,46.92503745,23.46251872,,,,135053.3513,67526.67565,
25,,,,46.92503745,23.46251872,,,,135053.3513,67526.67565,
26,,,,46.92503745,23.46251872,,,,135053.3513,67526.67565,
27,,,,46.92503745,23.46251872,,,,135053.3513,67526.67565,
28,,,,46.92503745,23.46251872,,,,135053.3513,67526.67565,
29,,,,46.92503745,23.46251872,,,,135053.3513,67526.67565,
30,,,,46.92503745,23.46251872,,,,135053.3513,67526.67565,
31,,,,46.92503745,23.46251872,,,,135053.3513,67526.67565,
32,,,,46.92503745,23.46251872,,,,135053.3513,67526.67565,
33,,,,46.92503745,23.46251872,,,,135053.3513,67526.67565,
34,,,,46.92503745,23.46251872,,,,135053.3513,67526.67565,
35,,,,46.92503745,23.46251872,,,,135053.3513,67526.67565,
36,,,,46.92503745,23.46251872,,,,135053.3513,67526.67565,
37,,,,46.92503745,23.46251872,,,,135053.3513,67526.67565,
38,,,,46.92503745,23.46251872,,,,135053.3513,67526.67565,
39,,,,46.92503745,23.46251872,,,,135053.3513,67526.67565,
40,,,,46.92503745,23.46251872,,,,135053.3513,67526.67565,
41,,,,46.92503745,23.46251872,,,,135053.3513,67526.67565,
42,,,,46.92503745,23.46251872,,,,135053.3513,67526.67565,
43,,,,46.92503745,23.46251872,,,,135053.3513,67526.67565,
44,,,,46.92503745,23.46251872,,,,135053.3513,67526.67565,
45,,,,46.92503745,23.46251872,,,,135053.3513,67526.67565,
46,,,,46.92503745,23.46251872,,,,135053.3513,67526.67565,
47,,,,46.92503745,23.46251872,,,,135053.3513,67526.67565,
48,,,,46.92503745,23.46251872,,,,135053.3513,67526.67565,
49,,,,46.92503745,23.46251872,,,,135053.3513,67526.67565,
50,,,,46.92503745,23.46251872,,,,135053.3513,67526.67565,
51,,,,46.92503745,23.46251872,,,,135053.3513,67526.67565,
52,,,,46.92503745,23.46251872,,,,135053.3513,67526.67565,