Continent,Country,Category,FIPS_CNTRY,y2001,y2002,y2003,y2004,y2005,y2006,y2007,y2008,y2009,y2010,y2011,y2012,y2013,Average,id
America,Brazil,Brazil,BR,0.6326782,0.6395149,0.6911085,0.6617241,0.5690683,0.5188039,0.4484994,0.4763610,0.2988888,0.2741988,0.2741121,0.1998495,0.2312570,0.4690784,1
Asia,Indonesia,Indonesia,ID,0.0388641,0.0457457,0.0362958,0.0665939,0.0758049,0.0883930,0.0926347,0.0865042,0.1352552,0.1068371,0.1301262,0.1689534,0.0943114,0.0872979,2
America,Colombia,Other NYDF Signatory,CO,0.0352942,0.0274191,0.0286951,0.0311986,0.0294050,0.0346392,0.0338944,0.0328077,0.0374393,0.0342647,0.0410396,0.0417468,0.0289254,0.0332865,3
America,Mexico,Other NYDF Signatory,MX,0.0204702,0.0233472,0.0234873,0.0188793,0.0234046,0.0261937,0.0127341,0.0133755,0.0153359,0.0133947,0.0233243,0.0209502,0.0206856,0.0197527,4
America,Bolivia,Other non-NYDF Signatory,BL,0.0180296,0.0203321,0.0192962,0.0198379,0.0298231,0.0285907,0.0262249,0.0430161,0.0291676,0.0644906,0.0457582,0.0367527,0.0221975,0.0302774,5
Africa,Madagascar,Other non-NYDF Signatory,MA,0.0170688,0.0151226,0.0119832,0.0117494,0.0145765,0.0101970,0.0329221,0.0201224,0.0260730,0.0193549,0.0358237,0.0229447,0.0547115,0.0218595,6
America,Ecuador,Other non-NYDF Signatory,EC,0.0158811,0.0139197,0.0133240,0.0118742,0.0137104,0.0153362,0.0151777,0.0150766,0.0165818,0.0166624,0.0176848,0.0158847,0.0156841,0.0149767,7
America,Peru,Other NYDF Signatory,PE,0.0134884,0.0111438,0.0097811,0.0121619,0.0221066,0.0138114,0.0180080,0.0201449,0.0302909,0.0247530,0.0229644,0.0438029,0.0330372,0.0206433,8
Africa,Democratic Republic of the Congo,Other NYDF Signatory,CG,0.0129294,0.0136563,0.0064065,0.0077998,0.0113080,0.0156551,0.0155816,0.0109004,0.0218034,0.0316249,0.0256810,0.0341351,0.0691406,0.0204494,9
Asia,Malaysia,Other non-NYDF Signatory,MY,0.0127403,0.0111545,0.0092079,0.0149166,0.0158871,0.0172755,0.0213704,0.0201589,0.0304270,0.0192351,0.0255405,0.0360888,0.0161714,0.0187990,10
Africa,Cote d'Ivoire,Other NYDF Signatory,IV,0.0124545,0.0137253,0.0074402,0.0039485,0.0053291,0.0099893,0.0088875,0.0119457,0.0118063,0.0107647,0.0165676,0.0118681,0.0188703,0.0107421,11
America,Venezuela,Other non-NYDF Signatory,VE,0.0120227,0.0070383,0.0081749,0.0068213,0.0081346,0.0084537,0.0118171,0.0113348,0.0148679,0.0124989,0.0093099,0.0114149,0.0074845,0.0097863,12
Africa,Angola,Other non-NYDF Signatory,AO,0.0115829,0.0056260,0.0044485,0.0051638,0.0074247,0.0071610,0.0146159,0.0093903,0.0171045,0.0175269,0.0193116,0.0180979,0.0175694,0.0114416,13
America,Paraguay,Other non-NYDF Signatory,PA,0.0093532,0.0112175,0.0149817,0.0136350,0.0137965,0.0083343,0.0229628,0.0180582,0.0177554,0.0233502,0.0259265,0.0261219,0.0162091,0.0167555,14
Asia,Papua New Guinea,Other non-NYDF Signatory,PP,0.0072107,0.0096673,0.0055061,0.0087051,0.0065518,0.0109528,0.0097588,0.0137042,0.0103795,0.0143191,0.0120842,0.0156648,0.0115500,0.0102880,15
Asia,India,Other non-NYDF Signatory,IN,0.0070933,0.0051595,0.0046511,0.0061282,0.0061723,0.0073018,0.0078403,0.0091929,0.0092707,0.0060323,0.0111655,0.0110064,0.0103905,0.0076530,16
Africa,Tanzania,Other non-NYDF Signatory,TZ,0.0064522,0.0048511,0.0049170,0.0033526,0.0060354,0.0058199,0.0093603,0.0091037,0.0109687,0.0112157,0.0128550,0.0125167,0.0160013,0.0084285,17
Africa,Cameroon,Other non-NYDF Signatory,CM,0.0064504,0.0047154,0.0039002,0.0031340,0.0040692,0.0062271,0.0079957,0.0062867,0.0080624,0.0114068,0.0059516,0.0100036,0.0171628,0.0071192,18
America,Guatemala,Other non-NYDF Signatory,GT,0.0055760,0.0054114,0.0084370,0.0049526,0.0096469,0.0061123,0.0144419,0.0090378,0.0115331,0.0078417,0.0058422,0.0105162,0.0066367,0.0080932,19
Asia,Vietnam,Other NYDF Signatory,VM,0.0055729,0.0051541,0.0042771,0.0067251,0.0108056,0.0094875,0.0095069,0.0134966,0.0185262,0.0240727,0.0191304,0.0237733,0.0155891,0.0122938,20
Asia,Myanmar,Other non-NYDF Signatory,BM,0.0054622,0.0069641,0.0080205,0.0093898,0.0102192,0.0150538,0.0178027,0.0142188,0.0290527,0.0227546,0.0196172,0.0292143,0.0330481,0.0164205,21
Africa,Central African Republic,Other non-NYDF Signatory,CT,0.0054594,0.0052217,0.0021389,0.0020462,0.0041438,0.0079129,0.0064388,0.0047375,0.0086793,0.0090485,0.0091314,0.0092363,0.0061754,0.0059520,22
Africa,Uganda,Other non-NYDF Signatory,UG,0.0054412,0.0013354,0.0017881,0.0022564,0.0042787,0.0044735,0.0061940,0.0060676,0.0040135,0.0069494,0.0123282,0.0050380,0.0057143,0.0048557,23
Africa,Ghana,Other non-NYDF Signatory,GH,0.0049557,0.0080293,0.0024269,0.0016086,0.0041504,0.0030839,0.0045220,0.0039751,0.0047338,0.0022678,0.0046738,0.0040356,0.0081347,0.0042977,24
Africa,Mozambique,Other non-NYDF Signatory,MZ,0.0048892,0.0076552,0.0056984,0.0065695,0.0114377,0.0153482,0.0117715,0.0182648,0.0204603,0.0190308,0.0156719,0.0139339,0.0167790,0.0125229,25
Asia,Laos,Other non-NYDF Signatory,LA,0.0047883,0.0064074,0.0098512,0.0064830,0.0083448,0.0161630,0.0177202,0.0105535,0.0210905,0.0247497,0.0202204,0.0204965,0.0284843,0.0144978,26
Asia,Philippines,Other NYDF Signatory,RP,0.0046900,0.0039364,0.0041551,0.0054625,0.0061518,0.0080819,0.0090872,0.0055097,0.0091179,0.0147862,0.0057553,0.0086850,0.0087986,0.0070970,27
